t_minus_t0_M,NRHybSur3dq8_CCE_delta_h20_real_over_nu,NRHybSur3dq8_CCE_delta_h20_imag_over_nu,SEOBNRv5EHM_delta_h20_real_over_nu,SEOBNRv5EHM_delta_h20_imag_over_nu,NRHybSur3dq8_CCE_delta_h30_real_over_nu,NRHybSur3dq8_CCE_delta_h30_imag_over_nu,SEOBNRv5EHM_delta_h30_real_over_nu,SEOBNRv5EHM_delta_h30_imag_over_nu
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.0,4.5932472786218426e-07,0.0,4.5999122539111696e-07,-3.225580348736131e-32,0.0,2.5502182362418066e-11,-4.4373425918681914e-30,2.3066731974897555e-11
480.0,9.1900294447631e-07,0.0,9.200599927088779e-07,-3.9650507766973097e-32,0.0,5.099704004233508e-11,-1.7749370367472766e-30,4.753893562525459e-11
720.0,1.3790256360077767e-06,0.0,1.3802063290219211e-06,5.180936794575038e-31,0.0,7.648470101795574e-11,-2.662405555120915e-30,7.201480968610664e-11
960.0,1.839338395639642e-06,0.0,1.8404302522004838e-06,3.5716976110850376e-31,0.0,1.0196741993306692e-10,5.768545369428649e-30,9.649572935098254e-11
1200.0,2.2998444553915583e-06,0.0,2.300731784123081e-06,4.788878087048077e-31,0.0,1.2744943605542919e-10,3.549874073494553e-30,1.2098327806340957e-10
1440.0,2.7604474809499527e-06,0.0,2.7611109533688946e-06,1.8444266785083344e-31,0.0,1.5293510868860484e-10,-3.106139814307734e-30,1.4547923884175082e-10
1680.0,3.221092950127279e-06,0.0,3.221567791876249e-06,3.05144242268585e-31,0.0,1.7842969463007217e-10,-8.874685183736383e-31,1.6998434889606296e-10
1920.0,3.6817653362635015e-06,0.0,3.682102333362395e-06,7.283143945551087e-31,0.0,2.0393928771336214e-10,-1.7749370367472766e-30,1.9449933656699496e-10
2160.0,4.142450306991296e-06,0.0,4.1427146130411824e-06,6.743419519476748e-31,0.0,2.2946972853371842e-10,2.2186712959340957e-30,2.1902413042446683e-10
2400.0,4.603127523923438e-06,0.0,4.603404665451018e-06,8.540137422806395e-31,0.0,2.550210706828858e-10,3.549874073494553e-30,2.4355821135417575e-10
2640.0,5.063771057299635e-06,0.0,5.064172523823989e-06,1.0644028596306886e-30,0.0,2.805879802766413e-10,-4.437342591868191e-31,2.681007987056627e-10
2880.0,5.524355733573048e-06,0.0,5.5250182148176695e-06,1.065731851352495e-30,0.0,3.061649991865432e-10,5.32481111024183e-30,2.926491749223707e-10
3120.0,5.984875942908812e-06,0.0,5.985941757044616e-06,8.269739406552332e-31,0.0,3.3174830332546137e-10,-4.8810768510550105e-30,3.172020563157303e-10
3360.0,6.44534423418293e-06,0.0,6.446943166872547e-06,9.121216773816415e-31,0.0,3.5733558529636724e-10,-2.662405555120915e-30,3.4175859279360233e-10
3600.0,6.905773204717025e-06,0.0,6.908022458795465e-06,1.1576900073470161e-30,0.0,3.8292465407599284e-10,-2.662405555120915e-30,3.6631794468897376e-10
3840.0,7.36616263944485e-06,0.0,7.369179646163965e-06,9.340950058412975e-31,0.0,4.085144998847436e-10,7.543482406175925e-30,3.90879972556445e-10
4080.0,7.826500480579996e-06,0.0,7.830414743688547e-06,1.1072328012137763e-30,0.0,4.3410520478737685e-10,5.32481111024183e-30,4.154454976765312e-10
4320.0,8.286776813447912e-06,0.0,8.291727768041585e-06,1.8598197085414113e-30,0.0,4.596969527943392e-10,-3.549874073494553e-30,4.400153893488329e-10
4560.0,8.747033126252097e-06,0.0,8.753118737819155e-06,1.6769802010965426e-30,0.0,4.852911379845366e-10,8.874685183736383e-31,4.645905173682564e-10
4800.0,9.20735816577591e-06,0.0,9.214587673551393e-06,1.4402602058232495e-30,0.0,5.108902669450655e-10,-8.874685183736383e-31,4.891717888642667e-10
5040.0,9.667841677216951e-06,0.0,9.676134600713945e-06,1.5443431452225238e-30,0.0,5.364967882435716e-10,-3.549874073494553e-30,5.137615836143832e-10
5280.0,1.0128558497780014e-05,0.0,1.0137759553262725e-05,1.716005806276925e-30,0.0,5.621111981269101e-10,7.099748146989106e-30,5.383608966052231e-10
5520.0,1.0589569848069857e-05,0.0,1.0599462566273743e-05,1.705907958416333e-30,0.0,5.877322096394524e-10,4.437342591868191e-31,5.629696833864464e-10
5760.0,1.1050935096440463e-05,0.0,1.106124367473141e-05,1.8227672341032004e-30,0.0,6.133584795589116e-10,-3.993608332681372e-30,5.875878997920974e-10
6000.0,1.1512687391609976e-05,0.0,1.1523102913528505e-05,1.8774868046422076e-30,0.0,6.389888432712999e-10,1.7749370367472766e-30,6.122155015428837e-10
6240.0,1.197483611845994e-05,0.0,1.1985040315526643e-05,2.141784537139741e-30,0.0,6.646222980419907e-10,-5.768545369428649e-30,6.368509874429647e-10
6480.0,1.2437383917389975e-05,0.0,1.2447055903750824e-05,2.008220350144171e-30,0.0,6.902580029312082e-10,4.437342591868191e-31,6.614920320327741e-10
6720.0,1.2900221012455883e-05,0.0,1.2909149696928969e-05,2.0685289527053956e-30,0.0,7.158980958355859e-10,-3.993608332681372e-30,6.861378606120147e-10
6960.0,1.3363136645967071e-05,0.0,1.3371321712089827e-05,2.2737745976106867e-30,0.0,7.415473904917299e-10,2.662405555120915e-30,7.107877036795962e-10
7200.0,1.3825921487801941e-05,0.0,1.3833571964562524e-05,2.7747017883118513e-30,0.0,7.672106783828909e-10,-3.106139814307734e-30,7.354407915491468e-10
7440.0,1.4288460455415437e-05,0.0,1.429590046807321e-05,3.196859294339545e-30,0.0,7.9289054616213e-10,-2.662405555120915e-30,7.600965106515758e-10
7680.0,1.4750722275335467e-05,0.0,1.4758307237527901e-05,2.8186678736499527e-30,0.0,8.185876198507463e-10,-2.662405555120915e-30,7.847557289501435e-10
7920.0,1.5212680869404818e-05,0.0,1.5220792291444174e-05,2.9135099330010865e-30,0.0,8.443023166940032e-10,3.106139814307734e-30,8.094195688064787e-10
8160.0,1.5674352100947817e-05,0.0,1.568335565071265e-05,2.7799782978399918e-30,0.0,8.700324642974679e-10,2.2186712959340957e-30,8.340890631382508e-10
8400.0,1.6135788710073618e-05,0.0,1.6145997338512763e-05,2.646864797850611e-30,0.0,8.957736133430627e-10,4.437342591868191e-31,8.587652459129106e-10
8640.0,1.6597048740869336e-05,0.0,1.66087173803141e-05,2.4818150735815624e-30,0.0,9.215212357603938e-10,-2.662405555120915e-30,8.834491524988088e-10
8880.0,1.705826335440916e-05,0.0,1.707151580517386e-05,2.376908448463349e-30,0.0,9.472707823818326e-10,-3.549874073494553e-30,9.081424588541616e-10
9120.0,1.7519627200707948e-05,0.0,1.753439264771114e-05,2.2488258128102576e-30,0.0,9.730176857204627e-10,7.987216665362745e-30,9.328456037045676e-10
9360.0,1.7981331359437315e-05,0.0,1.7997347942476386e-05,2.0830485492424133e-30,0.0,9.987575239890865e-10,3.106139814307734e-30,9.575579801308627e-10
9600.0,1.844346654979504e-05,0.0,1.8460381722684396e-05,2.2695441248929025e-30,0.0,1.0244884604808755e-09,-4.8810768510550105e-30,9.822789819079302e-10
9840.0,1.8906037531362524e-05,0.0,1.8923494020213482e-05,1.9177710843533328e-30,0.0,1.0502108726325364e-09,5.768545369428649e-30,1.0070080022025466e-09
10080.0,1.9369042647018062e-05,0.0,1.9386684865097875e-05,2.2262476044576294e-30,0.0,1.0759254595549149e-09,4.4373425918681914e-30,1.0317438667236043e-09
10320.0,1.9832417471511363e-05,0.0,1.9849954278432183e-05,1.7556467274195707e-30,0.0,1.101637235139419e-09,7.099748146989106e-30,1.0564837764603076e-09
10560.0,2.02960446131445e-05,0.0,2.0313302274668322e-05,1.69682907956347e-30,0.0,1.1273548542752488e-09,-2.2186712959340957e-30,1.0812272961434784e-09
10800.0,2.0759806753969153e-05,0.0,2.0776728867745976e-05,1.9412741268078956e-30,0.0,1.1530868345141657e-09,3.549874073494553e-30,1.10597426830142e-09
11040.0,2.122361573703678e-05,0.0,2.124023407125731e-05,1.827434716674622e-30,0.0,1.1788374646116017e-09,-3.549874073494553e-30,1.1307245349966702e-09
