t_minus_t0_M,FastEMRIWaveforms_delta_h20_real_over_nu,FastEMRIWaveforms_delta_h20_imag_over_nu,effective_0PN_delta_h20_real_over_nu,effective_0PN_delta_h20_imag_over_nu,FastEMRIWaveforms_delta_h30_real_over_nu,FastEMRIWaveforms_delta_h30_imag_over_nu,effective_0PN_delta_h30_real_over_nu,effective_0PN_delta_h30_imag_over_nu
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662055408.2822615,7.514181679919377e-06,5.09302551405596e-24,7.566048379337367e-06,0.0,-1.1280561841862075e-32,6.441209042597335e-15,0.0,6.6094081229858896e-15
1321918925.9317586,1.50344615976897e-05,7.8625957416138e-24,1.5138182430014471e-05,0.0,-1.0072791244206189e-33,1.289949882150933e-14,0.0,1.3237773641559896e-14
1979597809.7209604,2.256096267312811e-05,8.03760086168982e-24,2.271640642046261e-05,0.0,1.13697781036697e-34,1.9404704736921467e-14,0.0,1.98851501058151e-14
2635099292.3943214,3.0093755954982736e-05,6.038828880208066e-24,3.03007246194466e-05,0.0,9.830165232076841e-35,2.5919749272112785e-14,0.0,2.6551591211965498e-14
3288430582.753361,3.763276993177539e-05,1.7756673009576448e-24,3.789114129612171e-05,0.0,7.061062959329729e-35,3.244294178603538e-14,0.0,3.3237150802774955e-14
3939598865.7303457,4.5177945203963666e-05,-4.801680507662004e-24,4.548766071994892e-05,0.0,3.140079325695854e-35,3.897668592600443e-14,0.0,3.994188286786659e-14
4588611302.472972,5.272923896998915e-05,-1.3680290717333804e-23,5.3090287160755835e-05,0.0,-1.855177628572429e-35,4.552338533936193e-14,0.0,4.666584154414772e-14
5235475030.417426,6.028662480850417e-05,-2.478534603944236e-23,6.0699024888658594e-05,0.0,-7.84709986320272e-35,5.208544367342215e-14,0.0,5.3409081116124817e-14
5880197163.372525,6.785009246252961e-05,-3.798095589028024e-23,6.83138781741042e-05,0.0,-1.4758079337946528e-34,5.866526457552708e-14,0.0,6.017165601632778e-14
6522784791.593097,7.5419647625278e-05,-5.307096976677312e-23,7.593485128781232e-05,0.0,-2.251050801253678e-34,6.526525169299806e-14,0.0,6.695362082562927e-14
7163244981.859959,8.299531172783181e-05,-6.979978387793645e-23,8.356194850078186e-05,0.0,-3.1026777846702323e-34,7.188780867315677e-14,0.0,7.375503027364028e-14
7801584777.559765,9.057712172858808e-05,-8.785314107669888e-23,9.119517408430158e-05,0.0,-4.0229280800199996e-34,7.853533916334487e-14,0.0,8.057593923910343e-14
8437811198.757672,9.816512990437269e-05,-1.0685892413629801e-22,9.883453230988657e-05,0.0,-5.004040883274915e-34,8.521024681087694e-14,0.0,8.741640275021617e-14
9071931242.27992,0.00010575940364341604,-1.2638794241589947e-22,0.00010648002744931926,0.0,-6.038255390410912e-34,9.19149352630953e-14,0.0,9.427647598505637e-14
9703951881.78545,0.0001133600141450825,-1.459761823098526e-22,0.00011413166377458328,0.0,-7.6438867634750445e-34,9.864588851573e-14,0.0,1.0115621427190831e-13
10333880067.847916,0.00012096696856609929,-1.6527086322058215e-22,0.00012178944555790577,0.0,-1.0834702543371103e-33,1.0539190029662659e-13,0.0,1.080556730896849e-13
10961722728.02678,0.0001285802427440032,-1.8400427701254582e-22,0.0001294533770716859,0.0,-1.5465035842646935e-33,1.1215300195116216e-13,0.0,1.1497490806825337e-13
11587486766.948885,0.00013619981471729817,-2.0193806724543584e-22,0.00013712346258854392,0.0,-2.1351616410840574e-33,1.1892961942217827e-13,0.0,1.2191397498886732e-13
12211179066.379652,0.00014382566512307233,-2.188620936014073e-22,0.00014479970638125222,0.0,-2.8311173997476008e-33,1.257221786524943e-13,0.0,1.2887292978449055e-13
12832806485.300768,0.00015145777716222208,-2.3459407397548253e-22,0.00015248211272274076,0.0,-3.616043835207232e-33,1.3253110558492965e-13,0.0,1.3585182854019925e-13
13452375859.987717,0.0001590961365649702,-2.489792294847262e-22,0.00016017068588611945,0.0,-4.4716139224174635e-33,1.3935682616232524e-13,0.0,1.428507274935826e-13
14069894004.080162,0.00016674073155658922,-2.618899323768591e-22,0.00016786543014459616,0.0,-5.3795006363293034e-33,1.4619976632749428e-13,0.0,1.4986968303506812e-13
14685367708.66224,0.00017439155282353907,-2.73225356819646e-22,0.00017556634977153757,0.0,-6.321376951897523e-33,1.530603520232765e-13,0.0,1.5690875170836583e-13
15298803742.332027,0.0001820485934797599,-2.829111325516237e-22,0.0001832734490403805,0.0,-7.278915844072953e-33,1.5993900919248571e-13,0.0,1.6396799021078124e-13
15910208851.281128,0.00018971184903337837,-2.9089900137575026e-22,0.0001909867322246915,0.0,-8.23379028781046e-33,1.66836163777962e-13,0.0,1.7104745539366312e-13
16519589759.364372,0.00019738131735357669,-2.971664764768622e-22,0.00019870620359809798,0.0,-9.167673258061836e-33,1.7375224172252556e-13,0.0,1.7814720426273514e-13
17126953168.175625,0.0002050569986378215,-3.01716504544586e-22,0.00020643186743428958,0.0,-1.0062237729778951e-32,1.8068766896899526e-13,0.0,1.8526729397849108e-13
17732305757.12355,0.0002127388953793751,-3.0457713068303358e-22,0.00021416372800703396,0.0,-1.0899156677916543e-32,1.8764287146021321e-13,0.0,1.9240778185661133e-13
18335654183.500423,0.00022042701233499794,-3.0580116608885436e-22,0.00022190178959010816,0.0,-1.1660103077425668e-32,1.946182751389905e-13,0.0,1.995687253682879e-13
18937005082.56059,0.0002281213564930525,-3.054658584794243e-22,0.0002296460564573487,0.0,-1.2326749903260778e-32,2.016143059481696e-13,0.0,2.0675018214067678e-13
19536365067.58825,0.00023582193704174727,-3.0367256525287246e-22,0.00023739653288256426,0.0,-1.2880770130373293e-32,2.086313898305616e-13,0.0,2.1395220995721075e-13
20133740729.975277,0.0002435287653377837,-3.005464293618891e-22,0.00024515322313959937,0.0,-1.330383673371722e-32,2.1566995272900864e-13,0.0,2.2117486675806067e-13
20729138639.288692,0.00025124185487514314,-2.9623605788332506e-22,0.0002529161315022509,0.0,-1.3577622688244497e-32,2.227304205863221e-13,0.0,2.2841821064045505e-13
21322565343.347954,0.0002589612212542708,-2.909132032656342e-22,0.0002606852622443102,0.0,-1.368380096890854e-32,2.2981321934534446e-13,0.0,2.3568229985912224e-13
21914027368.29246,0.0002666868806116318,-2.8474616163368655e-22,0.0002684606196395055,0.0,-1.3653560643976243e-32,2.3691780238904327e-13,0.0,2.4296719282664174e-13
22503531218.655403,0.00027441884314626777,-2.77794953958531e-22,0.0002762422079615038,0.0,-1.3553195468511148e-32,2.440430031374114e-13,0.0,2.50272948113842e-13
23091083377.436916,0.00028215711647166104,-2.700799567230093e-22,0.000284030031483918,0.0,-1.3390630700351385e-32,2.511888457836314e-13,0.0,2.5759962445021683e-13
23676690306.171238,0.00028990170784403503,-2.616221345814444e-22,0.00029182409448024713,0.0,-1.3173373454772764e-32,2.583553628779031e-13,0.0,2.6494728072426633e-13
24260358445.002647,0.00029765262417148384,-2.524431485849572e-22,0.0002996244012239161,0.0,-1.2908930847050308e-32,2.6554258697045595e-13,0.0,2.723159759839498e-13
24842094212.75131,0.00030540987201619496,-2.425653456921398e-22,0.00030743095598820025,0.0,-1.260480999246004e-32,2.7275055061148937e-13,0.0,2.7970576943700945e-13
25421904006.988834,0.00031317345759679453,-2.320117483697387e-22,0.0003152437630462757,0.0,-1.2268518006276792e-32,2.799792863512336e-13,0.0,2.871167204514331e-13
